split,model,canonical_perturbation,mse,mae,delta_pearson,cosine
train,matching_single_mean,CNN1,0.0,0.0,1.0,0.9999999999999998
train,matching_single_mean,CNNM4,0.0,0.0,1.0,1.0
train,matching_single_mean,COL1A1,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,COL2A1,0.0,0.0,1.0,1.0
train,matching_single_mean,CSRNP1,0.0,0.0,1.0,1.0
train,matching_single_mean,DLX2,0.0,0.0,1.0,1.0
train,matching_single_mean,DUSP9,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,EGR1,0.0,0.0,1.0,1.0
train,matching_single_mean,ELMSAN1,0.0,0.0,1.0,1.0
train,matching_single_mean,ETS2,0.0,0.0,1.0,0.9999999999999999
train,matching_single_mean,FEV,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,FOSB,0.0,0.0,1.0,0.9999999999999999
train,matching_single_mean,FOXA1,0.0,0.0,1.0,0.9999999999999999
train,matching_single_mean,FOXA3,0.0,0.0,0.9999999999999999,1.0
train,matching_single_mean,FOXF1,0.0,0.0,1.0,1.0
train,matching_single_mean,FOXL2,0.0,0.0,1.0,1.0
train,matching_single_mean,FOXO4,0.0,0.0,0.9999999999999999,1.0
train,matching_single_mean,GLB1L2,0.0,0.0,1.0,1.0
train,matching_single_mean,HES7,0.0,0.0,1.0,1.0
train,matching_single_mean,HK2,0.0,0.0,1.0,1.0
train,matching_single_mean,HNF4A,0.0,0.0,1.0,0.9999999999999999
train,matching_single_mean,HOXA13,0.0,0.0,1.0,1.0
train,matching_single_mean,HOXB9,0.0,0.0,1.0,1.0
train,matching_single_mean,HOXC13,0.0,0.0,1.0,0.9999999999999999
train,matching_single_mean,IER5L,0.0,0.0,0.9999999999999999,1.0
train,matching_single_mean,IGDCC3,0.0,0.0,1.0,0.9999999999999999
train,matching_single_mean,IKZF3,0.0,0.0,0.9999999999999999,0.9999999999999999
train,matching_single_mean,IRF1,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,ISL2,0.0,0.0,0.9999999999999998,1.0
train,matching_single_mean,JUN,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,KIAA1804,0.0,0.0,1.0,0.9999999999999998
train,matching_single_mean,KIF18B,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,KIF2C,0.0,0.0,1.0,1.0
train,matching_single_mean,KLF1,0.0,0.0,1.0,1.0
train,matching_single_mean,KMT2A,0.0,0.0,0.9999999999999999,0.9999999999999999
train,matching_single_mean,LHX1,0.0,0.0,0.9999999999999999,1.0
train,matching_single_mean,LYL1,0.0,0.0,1.0,1.0
train,matching_single_mean,MAML2,0.0,0.0,1.0,1.0
train,matching_single_mean,MAP2K3,0.0,0.0,1.0,0.9999999999999998
train,matching_single_mean,MAP2K6,0.0,0.0,0.9999999999999999,1.0
train,matching_single_mean,MAP4K3,0.0,0.0,1.0,1.0000000000000002
train,matching_single_mean,MAP4K5,0.0,0.0,0.9999999999999999,1.0
train,matching_single_mean,MAP7D1,0.0,0.0,1.0,1.0
train,matching_single_mean,MAPK1,0.0,0.0,1.0,0.9999999999999999
train,matching_single_mean,MEIS1,0.0,0.0,1.0,0.9999999999999999
train,matching_single_mean,MIDN,0.0,0.0,1.0,1.0
train,matching_single_mean,NCL,0.0,0.0,1.0,1.0
train,matching_single_mean,NIT1,0.0,0.0,0.9999999999999999,1.0
train,matching_single_mean,OSR2,0.0,0.0,1.0,1.0
